#Release 13.2 - par O.61xd (lin)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 26 06:42:31 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u2plus_map.ncd
#OUTPUT FILE:      u2plus_pad.csv
#PART TYPE:        xc3sd3400a
#SPEED GRADE:      -5
#PACKAGE:          fg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R18,,DIFFMLR,IO_L27P_1/A6,UNUSED,,1,,,,,,,,,
R19,ser_loopen,IOB,IO_L22P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R20,ser_enable,IOB,IO_L22N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R21,,DIFFMLR,IO_L25P_1/A2,UNUSED,,1,,,,,,,,,
R22,,DIFFSLR,IO_L25N_1/A3,UNUSED,,1,,,,,,,,,
R23,,DIFFMI_NDT,IP_L28P_1/VREF_1,UNUSED,,1,,,,,,,,,
R24,,DIFFSI_NDT,IP_L28N_1,UNUSED,,1,,,,,,,,,
R25,,DIFFMLR,IO_L29P_1/A8,UNUSED,,1,,,,,,,,,
R26,,DIFFSLR,IO_L29N_1/A9,UNUSED,,1,,,,,,,,,
T1,,,GND,,,,,,,,,,,,
T2,,,VCCO_3,,,3,,,,,2.50,,,,
T3,DACA<6>,IOB,IO_L38P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T4,DACA<7>,IOB,IO_L38N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T5,,DIFFMLR,IO_L42P_3,UNUSED,,3,,,,,,,,,
T6,,,GND,,,,,,,,,,,,
T7,ADCA_8_p,IBUF,IO_L51P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
T8,,,VCCO_3,,,3,,,,,2.50,,,,
T9,ADCA_4_n,IBUF,IO_L48N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
T10,ADCA_4_p,IBUF,IO_L48P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
T11,,,VCCINT,,,,,,,,1.2,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.2,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.2,,,,
T16,,,GND,,,,,,,,,,,,
T17,ser_t<8>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T18,ser_t<9>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T19,,,VCCO_1,,,1,,,,,2.50,,,,
T20,ser_t<4>,IOB,IO_L14N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
T21,,,GND,,,,,,,,,,,,
T22,,,VCCAUX,,,,,,,,2.5,,,,
T23,,DIFFMLR,IO_L26P_1/A4,UNUSED,,1,,,,,,,,,
T24,,DIFFSLR,IO_L26N_1/A5,UNUSED,,1,,,,,,,,,
T25,,,VCCO_1,,,1,,,,,2.50,,,,
T26,,,GND,,,,,,,,,,,,
U1,,DIFFMLR,IO_L44P_3,UNUSED,,3,,,,,,,,,
U2,,DIFFSLR,IO_L44N_3,UNUSED,,3,,,,,,,,,
U3,ADCB_8_p,IBUF,IP_L46P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
U4,,DIFFSLR,IO_L42N_3,UNUSED,,3,,,,,,,,,
U5,ADCA_6_p,IBUF,IO_L49P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
U6,ADCA_8_n,IBUF,IO_L51N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
U7,ADCB_2_p,IBUF,IO_L56P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
U8,ADCB_2_n,IBUF,IO_L56N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
U9,io_rx<9>,IOB,IO_L61P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U10,,,GND,,,,,,,,,,,,
U11,debug<30>,IOB,IO_L13N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U12,,,VCCINT,,,,,,,,1.2,,,,
U13,,,GND,,,,,,,,,,,,
U14,,,VCCAUX,,,,,,,,2.5,,,,
U15,debug<8>,IOB,IO_L35N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U16,SCL,IOB,IO_L42N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,ser_t<0>,IOB,IO_L12N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U19,ser_t<1>,IOB,IO_L12P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U20,ser_r<14>,IBUF,IO_L10N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
U21,ser_t<5>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U22,ser_t<14>,IOB,IO_L21N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U23,ser_prbsen,IOB,IO_L23P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U24,,DIFFSLR,IO_L23N_1/VREF_1,UNUSED,,1,,,,,,,,,
U25,,,GND,,,,,,,,,,,,
U26,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
V1,ADCA_2_p,IBUF,IO_L47P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
V2,ADCA_2_n,IBUF,IO_L47N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
V3,,,GND,,,,,,,,,,,,
V4,ADCB_8_n,IBUF,IP_L46N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
V5,ADCA_6_n,IBUF,IO_L49N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
V6,io_rx<4>,IOB,IO_L59N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V7,io_rx<5>,IOB,IO_L59P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V8,io_rx<8>,IOB,IO_L61N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V9,,,VCCAUX,,,,,,,,2.5,,,,
V10,MOSI_TX_ADC,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V11,debug<29>,IOB,IO_L13P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V12,debug<23>,IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V13,debug<19>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V14,debug<11>,IOB,IO_L31P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V15,debug<7>,IOB,IO_L35P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V16,SDA,IOB,IO_L42P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
V17,SCLK_CLK,IOB,IO_L46N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V18,ser_r<11>,IBUF,IO_L08P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
V19,ser_r<10>,IBUF,IO_L08N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
V20,,,SUSPEND,,,,,,,,,,,,
V21,ser_r<15>,IBUF,IO_L10P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
V22,ser_t<10>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V23,ser_t<15>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V24,ser_t<13>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V25,ser_t<12>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
V26,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
W1,ADCB_6_p,IBUF,IP_L50P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
W2,ADCB_6_n,IBUF,IP_L50N_3/VREF_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
W3,ADCA_10_p,IBUF,IO_L52P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
W4,ADCA_10_n,IBUF,IO_L52N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
W5,,,VCCO_3,,,3,,,,,2.50,,,,
W6,io_rx<10>,IOB,IO_L63N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
W7,io_rx<11>,IOB,IO_L63P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
W8,,,GND,,,,,,,,,,,,
W9,SEN_TX_DB,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W10,SEN_TX_ADC,IOB,IO_L09N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W11,,,VCCO_2,,,2,,,,,2.50,,,,
W12,debug<24>,IOB,IO_L16N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W13,debug<20>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W14,,,GND,,,,,,,,,,,,
W15,debug<12>,IOB,IO_L31N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W16,,,VCCO_2,,,2,,,,,2.50,,,,
W17,MOSI_CLK,IOB,IO_L46P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W18,,,VCCINT,,,,,,,,1.2,,,,
W19,,,GND,,,,,,,,,,,,
W20,ser_r<4>,IBUF,IO_L04P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
W21,ser_r<3>,IBUF,IO_L04N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
W22,,,VCCO_1,,,1,,,,,2.50,,,,
W23,ser_t<11>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
W24,,,GND,,,,,,,,,,,,
W25,,,GND,,,,,,,,,,,,
W26,,,VCCAUX,,,,,,,,2.5,,,,
Y1,ADCA_12_p,IBUF,IO_L53P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
Y2,ADCA_12_n,IBUF,IO_L53N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
Y3,MISO_DAC,IBUF,IP_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
Y4,,,VCCINT,,,,,,,,1.2,,,,
Y5,io_rx<3>,IOB,IO_L57P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y6,,DIFFSLR,IO_L57N_3,UNUSED,,3,,,,,,,,,
Y7,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
Y8,,,VCCINT,,,,,,,,1.2,,,,
Y9,,DIFFSTB,IO_L05N_2,UNUSED,,2,,,,,,,,,
Y10,debug<31>,IOB,IO_L12P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
Y11,,,VCCINT,,,,,,,,1.2,,,,
Y12,,DIFFMTB,IO_L17P_2/RDWR_B,UNUSED,,2,,,,,,,,,
Y13,CLK_FPGA_N,DIFFSI_NDT,IO_L25N_2/GCLK13,,LVPECL_25,2,,,,,,LOCATED,NO,,
Y14,exp_time_out_p,DIFFMTB,IO_L27P_2/GCLK0,OUTPUT,LVDS_25,2,,,NONE**,,,LOCATED,YES,NONE,
Y15,,DIFFSTB,IO_L34N_2/D3,UNUSED,,2,,,,,,,,,
Y16,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
Y17,clk_en<0>,IOB,IO_L43N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y18,,,VCCINT,,,,,,,,1.2,,,,
Y19,,,VCCINT,,,,,,,,1.2,,,,
Y20,ser_rklsb,IBUF,IO_L01P_1/HDC,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
Y21,ser_rx_en,IOB,IO_L01N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y22,ser_t<3>,IOB,IO_L13P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y23,ser_t<2>,IOB,IO_L13N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y24,ser_t<7>,IOB,IO_L15P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y25,ser_t<6>,IOB,IO_L15N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y26,,DIFFSI_NDT,IP_1,UNUSED,,1,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
